district_id,district_name
779,Aranthangi
555,Ariyalur
578,Attur
565,Chengalpet
571,Chennai
778,Cheyyar
539,Coimbatore
547,Cuddalore
566,Dharmapuri
556,Dindigul
563,Erode
552,Kallakurichi
557,Kanchipuram
544,Kanyakumari
559,Karur
780,Kovilpatti
562,Krishnagiri
540,Madurai
576,Nagapattinam
558,Namakkal
577,Nilgiris
564,Palani
573,Paramakudi
570,Perambalur
575,Poonamallee
546,Pudukkottai
567,Ramanathapuram
781,Ranipet
545,Salem
561,Sivaganga
580,Sivakasi
551,Tenkasi
541,Thanjavur
569,Theni
554,Thoothukudi (Tuticorin)
560,Tiruchirappalli
548,Tirunelveli
550,Tirupattur
568,Tiruppur
572,Tiruvallur
553,Tiruvannamalai
574,Tiruvarur
543,Vellore
542,Viluppuram
549,Virudhunagar
